year,sex,age,value
2028,both,40,471.6387569
2028,both,41,464.6097961
2028,both,42,462.3351449
2028,both,43,443.25359
2028,both,44,433.1585099
2028,both,45,439.8873483
2028,both,46,424.7188453
2028,both,47,429.1087739
2028,both,48,420.728486
2028,both,49,426.2043592
2028,both,50,395.1870218
2028,both,51,418.5583113
2028,both,52,411.7580178
2028,both,53,396.1158405
2028,both,54,389.2426255
2028,both,55,379.5268553
2028,both,56,384.8845753
2028,both,57,399.4837956
2028,both,58,408.6986714
2028,both,59,408.5375137
2028,both,60,413.5152719
2028,both,61,412.2811858
2028,both,62,404.4189809
2028,both,63,396.2242918
2028,both,64,392.2066485
2028,both,65,429.6245796
2028,both,66,410.0037393
2028,both,67,399.7855822
2028,both,68,384.7965527
2028,both,69,367.8897478
2028,both,70,381.2968248
2028,both,71,362.1060121
2028,both,72,344.1780078
2028,both,73,333.5433259
2028,both,74,324.6981669
2028,both,75,373.5439284
2028,both,76,262.2781563
2028,both,77,249.5854976
2028,both,78,240.4753914
2028,both,79,240.126663
2028,both,80,220.984173
2028,both,81,195.316892
2028,both,82,175.8753187
2028,both,83,160.3054959
2028,both,84,146.6427529
2028,both,85,116.0568268
2028,both,86,104.2897689
2028,both,87,93.14478441
2028,both,88,77.71569268
2028,both,89,69.41290607
2028,both,90,55.76196751
2028,both,91,47.77494628
2028,both,92,40.22429003
2028,both,93,32.17409254
2028,both,94,26.18293478
2028,both,95,22.27800227
2028,both,96,16.58141125
2028,both,97,12.45448781
2028,both,98,8.828893513
2028,both,99,6.0747228
2028,both,100,10.84376649
2029,both,40,475.5746603
2029,both,41,468.4870416
2029,both,42,466.1934081
2029,both,43,446.9526145
2029,both,44,436.7732892
2029,both,45,446.3811399
2029,both,46,430.9887135
2029,both,47,435.443448
2029,both,48,426.9394469
2029,both,49,432.4961571
2029,both,50,396.080359
2029,both,51,419.5044803
2029,both,52,412.6888145
2029,both,53,397.0112774
2029,both,54,390.1225252
2029,both,55,376.8371531
2029,both,56,382.1569031
2029,both,57,396.6526589
2029,both,58,405.802229
2029,both,59,405.6422133
2029,both,60,407.3039378
2029,both,61,406.0883887
2029,both,62,398.3442805
2029,both,63,390.2726823
2029,both,64,386.3153872
2029,both,65,430.8445048
2029,both,66,411.1679508
2029,both,67,400.9207791
2029,both,68,385.889188
2029,both,69,368.934376
2029,both,70,389.2120078
2029,both,71,369.622821
2029,both,72,351.3226567
2029,both,73,340.4672139
2029,both,74,331.4384418
2029,both,75,383.4225658
2029,both,76,269.2142905
2029,both,77,256.1859653
2029,both,78,246.8349358
2029,both,79,246.476985
2029,both,80,233.9347136
2029,both,81,206.7632291
2029,both,82,186.1823033
2029,both,83,169.7000277
2029,both,84,155.2365943
2029,both,85,121.5488861
2029,both,86,109.2249856
2029,both,87,97.55259649
2029,both,88,81.39336686
2029,both,89,72.69767449
2029,both,90,57.23029957
2029,both,91,49.03296296
2029,both,92,41.28348176
2029,both,93,33.02130532
2029,both,94,26.87238754
2029,both,95,22.91069628
2029,both,96,17.05232239
2029,both,97,12.80819456
2029,both,98,9.079633591
2029,both,99,6.247244585
2029,both,100,11.34290673
2030,both,40,479.5434095
2030,both,41,472.3966434
2030,both,42,470.0838692
2030,both,43,450.682508
2030,both,44,440.4182345
2030,both,45,452.9707955
2030,both,46,437.35114
